23;Беликов;Роман;Тимофеевич;874gri1p0cte@mail.com;7XyP3i72dU;09.02.1963;97;7(340)927-01-93;м;;;foto3.jpg;1
24;Гаврилова;Екатерина;Давидовна;bvg7f3c9uqr0@yahoo.com;9L3Amfy4M3;26.03.1991;65;7(035)068-27-40;ж;;;foto4.jpg;1
25;Егоров;Иван;Тимофеевич;kymfd1no60xv@yahoo.com;vZP28j2g3B;26.12.1997;27;7(634)656-80-65;м;;;foto5.jpg;1
26;Захаров;Артём;Михайлович;xem2iylgjqku@mail.com;bBFR23s95s;28.06.1971;47;7(920)492-73-70;м;;;foto6.jpg;1
27;Комарова;Екатерина;Михайловна;kd932gmfr7ya@yahoo.com;9NfgC82Z3i;26.08.1982;21;7(419)236-20-16;ж;;;foto7.jpg;1
28;Яковлева;Марина;Всеволодовна;z3t0fbmq5vpw@outlook.com;Yhf73iCT99;09.11.1952;22;7(768)188-48-96;ж;;;foto8.jpg;1
29;Горячева;Кристина;Александровна;n4pkh3u0elx1@tutanota.com;82Du3fY9yE;15.02.1996;13;7(919)270-51-91;ж;;;foto9.jpg;1
30;Данилов;Михаил;Сергеевич;7j0zpaig8hrb@tutanota.com;5B43uMfD9g;21.07.1960;28;7(386)022-85-86;м;;;foto10.jpg;1
31;Тимофеева;Вероника;Никитична;2mrndva1w03i@yahoo.com;fA5j8aHU33;10.09.1972;59;7(116)060-19-37;ж;ИТ;IT в бизнесе;foto9.jpg;2
32;Попова;Маргарита;Александровна;a139dszl0thv@gmail.com;s62Zy42hDE;05.08.1980;44;7(011)495-82-10;ж;ИТ;IT в бизнесе;foto10.jpg;2
33;Абрамов;Александр;Алексеевич;afe028rbd3jl@outlook.com;Eh23iV8Ls3;18.02.1977;8;7(815)360-04-17;м;Биг Дата;Разработка приложений;foto8.jpg;2
34;Соловьев;Михаил;Макарович;0k7jfh6ouslx@mail.com;Yvm2tF73C3;26.09.1961;10;7(378)681-79-31;м;Дизайн;IT-инфраструктура;foto11.jpg;2
35;Марков;Елисей;Максимович;gut7ivyz2kmq@mail.com;XM76e9Vu8y;04.10.1984;19;7(920)998-14-75;м;Биг Дата;Разработка приложений;foto12.jpg;2
36;Михайлов;Артём;Тимофеевич;vbp61sncyui3@tutanota.com;5Ck23hpTS6;15.08.1974;67;7(806)930-30-84;м;Аналитика;Стартапы;foto13.jpg;2
37;Ефремов;Лука;Демидович;gdz4vioqec3w@mail.com;5eh43YF7Ck;04.06.1990;64;7(766)768-78-99;м;ИТ;IT в бизнесе;foto14.jpg;2
38;Федоров;Егор;Матвеевич;ftg784qdiacy@mail.com;rL7r8i77FF;19.07.1956;66;7(873)444-00-44;м;Информационная безопасность;Информационная безопасность;foto16.jpg;2
39;Романов;Дмитрий;Арсентьевич;cehp6l3gw90y@yahoo.com;Xc6L78gVi9;04.02.1988;55;7(775)127-77-37;м;Биг Дата;Разработка приложений;foto17.jpg;2
40;Журавлев;Матвей;Андреевич;auog0ir57qxy@gmail.com;j89Sj9BEb2;06.06.1972;54;7(062)516-39-67;м;Аналитика;Стартапы;foto18.jpg;2
41;Кудрявцев;Даниэль;Маркович;jz1lwt2874fk@tutanota.com;VT53ru82Ny;13.03.1981;99;7(019)136-20-11;м;Аналитика;Стартапы;foto19.jpg;2
42;Абрамова;Алиса;Леонидовна;nocyvpk7fwm4@mail.com;b48AE5U4pv;20.10.1987;91;7(398)127-62-39;ж;Информационная безопасность;Информационная безопасность;foto20.jpg;2
43;Глушкова;Полина;Михайловна;ikot96mrynfq@yahoo.com;zuNC39K74e;28.01.1982;47;7(811)214-96-51;ж;Дизайн;IT-инфраструктура;foto21.jpg;2
44;Харитонова;Елизавета;Богдановна;sy7bjd9w3am8@tutanota.com;5cRH3iR66t;30.03.1953;99;7(729)404-62-85;ж;Дизайн;IT-инфраструктура;foto22.jpg;2
45;Медведев;Максим;Владимирович;day56vqslutx@gmail.com;DL23d8Zee8;20.07.1970;82;7(948)613-63-27;м;Дизайн;IT-инфраструктура;foto23.jpg;2
46;Балашов;Павел;Александрович;tbanx3e9zdos@outlook.com;2fU8Z7jAk7;07.01.1967;32;7(548)451-61-88;м;Информационная безопасность;Информационная безопасность;foto24.jpg;2
47;Панова;Анисия;Ильинична;0kt9zhu847rm@gmail.com;r45S3hBEm7;10.12.1980;31;7(143)603-46-64;ж;Информационная безопасность;Информационная безопасность;foto25.jpg;2
48;Соколова;Екатерина;Елисеевна;s7p582f9rocv@outlook.com;p2d772YXzH;13.05.1984;89;7(606)692-40-83;ж;Биг Дата;Разработка приложений;foto26.jpg;2
49;Антонов;Леонид;Степанович;guhxk5rd3287@mail.com;SX72yf8Yb4;24.06.1968;75;7(289)679-81-04;м;Аналитика;Стартапы;foto27.jpg;2
50;Верещагин;Игнат;Сергеевич;rezas3g4pdwx@gmail.com;yfU5R747pH;24.08.1974;69;7(369)033-74-07;м;Информационная безопасность;Информационная безопасность;foto28.jpg;2
51;Лаврентьева;Анна;Максимовна;kgzrhsn807ad@tutanota.com;29Z8rUSsh6;30.11.1989;28;7(190)088-71-65;ж;Биг Дата;Разработка приложений;foto29.jpg;2
52;Суворов;Леонид;Алексеевич;fboehm@gmail.com;5BIgu5;26.02.1988;64;7(821)995-78-97;м;Информационная безопасность;;foto11.jpg;3
53;Петухов;Вилен;Ильяович;abigayle.daugherty@bartoletti.com;br@ILZ;21.01.1983;45;7(421)662-87-42;м;Информационная безопасность;;foto12.jpg;3
54;Миронов;Арсений;Романович;zking@effertz.org;7qb*6x;22.03.1981;21;7(873)779-08-49;м;Биг Дата;;foto13.jpg;3
55;Веселов;Прохор;Вадимович;ghackett@yahoo.com;nN?bR2;23.01.1987;31;7(968)137-20-49;м;Биг Дата;;foto14.jpg;3
56;Костин;Гордей;Пётрович;lafayette66@wilkinson.com;b3MkBi;24.06.1988;10;7(270)545-22-93;м;ИТ;;foto15.jpg;3
57;Самойлова;Мартина;Рудольфовна;ferry.alexandrine@marquardt.info;veCAgL;25.11.1974;9;7(795)946-61-51;ж;Информационная безопасность;;foto16.jpg;3
58;Шубина;Грета;Андреевна;amanda76@yahoo.com;k3vfwO;26.04.1993;52;7(918)035-36-20;ж;Информационная безопасность;;foto17.jpg;3
59;Воробьёва;Гелла;Филипповна;jdavis@will.com;Mou5kd;27.09.1983;67;7(751)957-92-99;ж;Дизайн;;foto18.jpg;3
60;Никитина;Ирэна;Валерьевна;leffertz@champlin.com;~8xr}f;28.01.1983;81;7(723)495-69-42;ж;Биг Дата;;foto19.jpg;3
61;Кулакова;Индира;Григорьевна;zlemke@hotmail.com;}jbZCh;29.01.1992;9;7(723)258-88-84;ж;Дизайн;;foto20.jpg;3
